srno,address,categories,city,country,latitude,longitude,name,postalCode,province,cleaned_name,is_tourist_province,rest_per_km2_province,rest_per_1000people_province,api_call_made,schools,university,hospital,park,offices,mall,all_lat_long
7463,913 W State St,Fast Food Restaurant,Olean,US,42.07716,-78.44064,Taco Bell,14760,NY,tacobell,1,0.003998132,0.0249715884,True,1,0,0,3,1,0,"[[ 42.07741433 -78.44510127]
 [ 42.07966316 -78.43727589]
 [ 42.08076237 -78.43942864]
 [ 42.0775749  -78.44546561]
 [ 42.07675552 -78.44207001]]"
7464,4597 Virginia Beach Blvd,Fast Food Restaurant and Mexican Restaurant,Virginia Beach,US,36.84314,-76.136219,Taco Bell,23462,VA,tacobell,1,0.0048983662,0.0588187988,True,0,3,0,17,30,11,"[[ 36.84129783 -76.13626711]
 [ 36.84294408 -76.13419159]
 [ 36.839589   -76.132981  ]
 [ 36.84163464 -76.1339177 ]
 [ 36.84280282 -76.13407058]
 [ 36.84102    -76.133934  ]
 [ 36.84292026 -76.13999891]
 [ 36.84499808 -76.14033297]
 [ 36.84028131 -76.13413853]
 [ 36.84042525 -76.13289356]
 [ 36.84129783 -76.13626711]
 [ 36.8428054  -76.13500486]
 [ 36.84161488 -76.13598444]
 [ 36.84292633 -76.13197551]
 [ 36.842537   -76.133856  ]
 [ 36.84109897 -76.13668089]
 [ 36.84166968 -76.139669  ]
 [ 36.841134   -76.13341   ]
 [ 36.84085335 -76.13695268]
 [ 36.84204545 -76.1331363 ]
 [ 36.8413642  -76.138227  ]
 [ 36.84525218 -76.13757056]
 [ 36.842193   -76.135502  ]
 [ 36.84250384 -76.14041135]
 [ 36.84250076 -76.14041891]
 [ 36.841562   -76.136725  ]
 [ 36.84253933 -76.13425744]
 [ 36.841994   -76.134283  ]
 [ 36.84243747 -76.13388373]
 [ 36.84214769 -76.13373651]
 [ 36.8452093  -76.13722045]
 [ 36.84101288 -76.13608069]
 [ 36.84287787 -76.13319858]
 [ 36.8432431  -76.13362326]
 [ 36.84522282 -76.13806813]
 [ 36.8422904  -76.13230393]
 [ 36.845622   -76.138884  ]
 [ 36.842607   -76.132046  ]
 [ 36.84500497 -76.1399253 ]
 [ 36.84499808 -76.14033297]
 [ 36.84073745 -76.1402199 ]
 [ 36.841979   -76.131558  ]
 [ 36.842115   -76.131245  ]
 [ 36.842191   -76.13114   ]
 [ 36.839572   -76.132852  ]
 [ 36.83937    -76.132958  ]
 [ 36.845253   -76.140528  ]
 [ 36.838624   -76.132606  ]
 [ 36.83818114 -76.13245681]
 [ 36.840943   -76.134879  ]
 [ 36.84562009 -76.13394601]
 [ 36.84523464 -76.1329771 ]
 [ 36.843545   -76.13434   ]
 [ 36.8450876  -76.1356853 ]
 [ 36.8455388  -76.1324953 ]
 [ 36.84560195 -76.13366054]
 [ 36.84487142 -76.13437635]
 [ 36.84450742 -76.13392903]
 [ 36.84567671 -76.13371386]
 [ 36.8447783  -76.1338761 ]
 [ 36.84504684 -76.13392336]]"
7465,2901 W Main St,Fast Food Restaurant and Mexican Restaurant,Waynesboro,US,38.081532,-78.927439,Taco Bell,22980,VA,tacobell,1,0.0048983662,0.0588187988,True,0,0,0,0,2,0,"[[ 38.084919   -78.931723  ]
 [ 38.08442917 -78.93243313]]"
7466,5319 Elkhorn Blvd,,Sacramento,US,38.68652,-121.34154,Taco Bell,95842,CA,tacobell,1,0.003313786,0.0337992891,True,2,0,0,1,0,0,"[[  38.687634   -121.343486  ]
 [  38.684477   -121.344352  ]
 [  38.68710326 -121.33610539]]"
7467,15201 SW 104th St,Fast Food Restaurant,Miami,US,25.670462,-80.440264,Taco Bell,33196,FL,tacobell,1,0.0062928856,0.0410341642,True,3,0,1,4,1,0,"[[ 25.67291348 -80.44148474]
 [ 25.67493345 -80.44247706]
 [ 25.67197474 -80.44385822]
 [ 25.67202    -80.44197   ]
 [ 25.67541409 -80.4402878 ]
 [ 25.675086   -80.440428  ]
 [ 25.67464711 -80.44032582]
 [ 25.67202973 -80.44390049]
 [ 25.666908   -80.441668  ]]"
7468,925 Ruben M Torres Blvd,,Brownsville,US,25.9423,-97.5328,Taco Bell,78520,TX,tacobell,1,0.0016317192,0.0384644262,True,0,0,0,0,0,0,
7469,700 Forest Gate Center,,Pisgah Forest,US,35.2759,-82.7022,Taco Bell,28768,NC,tacobell,0,0.0044552097,0.0540274008,True,0,0,1,0,1,0,"[[ 35.27339015 -82.70312548]
 [ 35.27368265 -82.70229353]]"
7470,12151 S Orange Blossom Trl,Fast Food Restaurant,Orlando,US,28.389005,-81.403977,Taco Bell,32837,FL,tacobell,1,0.0062928856,0.0410341642,True,1,0,0,2,1,1,"[[ 28.38862264 -81.3983214 ]
 [ 28.38430248 -81.40459299]
 [ 28.38879991 -81.40296411]
 [ 28.38838936 -81.40095634]
 [ 28.3919496  -81.4041369 ]]"
7471,18400 W Warren Ave,,Detroit,US,42.343338,-83.21957,Taco Bell,48228,MI,tacobell,0,0.003462287,0.0507207194,True,0,0,0,0,1,0,[[ 42.34704438 -83.22114082]]
7472,5684 Thornton Ave,,Newark,US,37.540779,-122.027399,Taco Bell,94560,CA,tacobell,1,0.003313786,0.0337992891,True,3,0,0,4,1,0,"[[  37.53912307 -122.02723713]
 [  37.54275426 -122.03196746]
 [  37.5427885  -122.03211   ]
 [  37.54557832 -122.02933535]
 [  37.54420724 -122.03086736]
 [  37.54065275 -122.02549969]
 [  37.540033   -122.029237  ]
 [  37.54065275 -122.02549969]]"
